Id,River,Latitude,Longitude,Name,Description,HasParking,HasFacilities,CreatedDate
1,Drina,"44,3652","19,1195",Bajina Basta,Popularno mesto za rafting na Drini.,True,True,2023-05-14T00:00:00.0000000
2,Lim,"43,385","19,6532",Prijepolje,Polazna tacka za rafting Limom.,True,False,2023-06-20T00:00:00.0000000
3,Ibar,"43,7306","20,6897",Kraljevo,Mesto okupljanja za sportske aktivnosti na Ibru.,False,True,2023-07-05T00:00:00.0000000
4,Djetinja,"43,847","19,8429",Uzice,Reka pogodna za krace rafting ture.,True,False,2023-08-12T00:00:00.0000000
5,Kolubara,"44,2756","20,0089",Valjevo,"Lokacija uz reku Kolubaru, pogodna za odmor i rekreaciju.",False,False,2023-09-01T00:00:00.0000000
6,Morava,"43,7412","21,433",Cuprija,Popularno mesto za rekreativne sportove na Moravi.,True,True,2023-09-15T00:00:00.0000000
7,Tara,"43,9493","19,3337",Nacionalni Park Tara,Jedna od najlepsih destinacija u Srbiji za rafting i planinarenje.,True,True,2023-10-10T00:00:00.0000000
8,Drina,"43,8642","19,2912",Perucac,"Lokacija uz hidroelektranu, polazna tacka za splavarenje.",True,False,2023-10-25T00:00:00.0000000
9,Gradac,"44,2835","19,9321",Klisura reke Gradac,"Zasticeni prirodni rezervat, popularan za izlete.",False,False,2023-11-05T00:00:00.0000000
10,Tisa,45.3886,20.4295,Becej,"Polazna tacka za rafting i voznju camcima na Tisi.",true,true,2023-12-01
